Date,Open,High,Low,Close,Volume
2011-05-18,1125.0,1125.0,1125.0,1125.0,0.0
2011-05-19,1125.0,1525.0,1125.0,1500.0,3.0
2011-05-20,1125.0,1525.0,1125.0,1500.0,0.0
2011-05-23,1125.0,1525.0,1125.0,1500.0,0.0
2011-05-24,1125.0,1525.0,1125.0,1500.0,0.0
2011-05-25,1125.0,1525.0,1125.0,1500.0,0.0
2011-05-26,1125.0,1525.0,1125.0,1500.0,0.0
2011-05-27,1125.0,1525.0,1125.0,1500.0,0.0
2011-05-30,1125.0,1525.0,1125.0,1500.0,0.0
2011-05-31,1125.0,1525.0,1125.0,1500.0,0.0
2011-06-01,1125.0,1525.0,1125.0,1500.0,0.0
2011-06-02,1125.0,1525.0,1125.0,1500.0,0.0
2011-06-03,1125.0,1525.0,1125.0,1500.0,0.0
2011-06-06,1125.0,1525.0,1125.0,1500.0,0.0
2011-06-07,1125.0,1525.0,1125.0,1500.0,0.0
2011-06-08,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-09,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-10,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-13,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-14,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-15,1250.0,1250.0,1250.0,1250.0,1.0
2011-06-16,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-17,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-20,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-21,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-22,1250.0,1250.0,1250.0,1250.0,2.0
2011-06-23,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-24,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-27,1250.0,1250.0,1250.0,1250.0,0.0
2011-06-28,1125.0,1250.0,1125.0,1250.0,2.0
2011-06-29,1210.0,1210.0,1200.0,1200.0,1.0
2011-06-30,1200.0,1200.0,1200.0,1200.0,2.0
2011-07-01,1200.0,1250.0,1200.0,1200.0,4.0
2011-07-04,1200.0,1250.0,1200.0,1200.0,0.0
2011-07-05,1175.0,1175.0,1175.0,1175.0,0.0
2011-07-06,1250.0,1375.0,1250.0,1375.0,2.0
2011-07-07,1375.0,1375.0,1375.0,1375.0,1.0
2011-07-08,1375.0,1375.0,1250.0,1250.0,1.0
2011-07-11,1250.0,1325.0,1250.0,1250.0,3.0
2011-07-12,1375.0,1375.0,1300.0,1300.0,1.0
2011-07-13,1250.0,1250.0,875.0,875.0,2.0
2011-07-14,995.0,995.0,995.0,995.0,0.0
2011-07-15,1000.0,1000.0,1000.0,1000.0,2.0
